timestamp_ms,target_frequency_hz,target_midi,target_note_name,raw_frequency_hz,normalized_frequency_hz,normalization_applied,normalization_reason,detected_midi,detected_note_name,pitch_error_cents,absolute_pitch_error_cents,confidence,voiced_probability,classification,rms,peak,syllable_index,phrase_index,section_index
0,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
50,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
100,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
150,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
200,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
250,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
300,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
350,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
400,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
450,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
500,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
550,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
600,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
650,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
700,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
750,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
800,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
850,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
900,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
950,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
1000,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
1050,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
1100,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
1150,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
1200,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
1250,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
1300,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
1350,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
1400,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
1450,261.625565,60,C4,262.079321,262.079321,false,,60.03,C4,3,3,0.94,,PITCHED,0.08,0.144,0,0,0
1500,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,0,0
1550,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,0,0
1600,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,0,0
1650,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,0,0
1700,293.664768,62,D4,297.076988,297.076988,false,,62.2,D4,20,20,0.94,,PITCHED,0.09,0.162,1,0,0
1750,293.664768,62,D4,296.776843,296.776843,false,,62.1825,D4,18.25,18.25,0.94,,PITCHED,0.09,0.162,1,0,0
1800,293.664768,62,D4,296.477,296.477,false,,62.165,D4,16.5,16.5,0.94,,PITCHED,0.09,0.162,1,0,0
1850,293.664768,62,D4,296.177461,296.177461,false,,62.1475,D4,14.75,14.75,0.94,,PITCHED,0.09,0.162,1,0,0
1900,293.664768,62,D4,295.878225,295.878225,false,,62.13,D4,13,13,0.94,,PITCHED,0.09,0.162,1,0,0
1950,293.664768,62,D4,295.57929,295.57929,false,,62.1125,D4,11.25,11.25,0.94,,PITCHED,0.09,0.162,1,0,0
2000,293.664768,62,D4,295.280658,295.280658,false,,62.095,D4,9.5,9.5,0.94,,PITCHED,0.09,0.162,1,0,0
2050,293.664768,62,D4,294.982327,294.982327,false,,62.0775,D4,7.75,7.75,0.94,,PITCHED,0.09,0.162,1,0,0
2100,293.664768,62,D4,294.684298,294.684298,false,,62.06,D4,6,6,0.94,,PITCHED,0.09,0.162,1,0,0
2150,293.664768,62,D4,294.38657,294.38657,false,,62.0425,D4,4.25,4.25,0.94,,PITCHED,0.09,0.162,1,0,0
2200,293.664768,62,D4,294.089143,294.089143,false,,62.025,D4,2.5,2.5,0.94,,PITCHED,0.09,0.162,1,0,0
2250,293.664768,62,D4,293.792016,293.792016,false,,62.0075,D4,0.75,0.75,0.94,,PITCHED,0.09,0.162,1,0,0
2300,293.664768,62,D4,293.495189,293.495189,false,,61.99,D4,-1,1,0.94,,PITCHED,0.09,0.162,1,0,0
2350,293.664768,62,D4,293.198663,293.198663,false,,61.9725,D4,-2.75,2.75,0.94,,PITCHED,0.09,0.162,1,0,0
2400,293.664768,62,D4,292.902436,292.902436,false,,61.955,D4,-4.5,4.5,0.94,,PITCHED,0.09,0.162,1,0,0
2450,293.664768,62,D4,292.606508,292.606508,false,,61.9375,D4,-6.25,6.25,0.94,,PITCHED,0.09,0.162,1,0,0
2500,293.664768,62,D4,292.310879,292.310879,false,,61.92,D4,-8,8,0.94,,PITCHED,0.09,0.162,1,0,0
2550,293.664768,62,D4,292.015549,292.015549,false,,61.9025,D4,-9.75,9.75,0.94,,PITCHED,0.09,0.162,1,0,0
2600,293.664768,62,D4,291.720517,291.720517,false,,61.885,D4,-11.5,11.5,0.94,,PITCHED,0.09,0.162,1,0,0
2650,293.664768,62,D4,291.425784,291.425784,false,,61.8675,D4,-13.25,13.25,0.94,,PITCHED,0.09,0.162,1,0,0
2700,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
2750,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
2800,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
2850,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
2900,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
2950,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,0
3000,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,1
3050,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,1
3100,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,1
3150,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,1
3200,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
3250,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
3300,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
3350,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
3400,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
3450,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
3500,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
3550,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
3600,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.55,,HARSH_LOW_CONFIDENCE,0.1,0.18,2,1,1
3650,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.55,,HARSH_LOW_CONFIDENCE,0.1,0.18,2,1,1
3700,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.55,,HARSH_LOW_CONFIDENCE,0.1,0.18,2,1,1
3750,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.55,,HARSH_LOW_CONFIDENCE,0.1,0.18,2,1,1
3800,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.55,,HARSH_LOW_CONFIDENCE,0.1,0.18,2,1,1
3850,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.55,,HARSH_LOW_CONFIDENCE,0.1,0.18,2,1,1
3900,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.55,,HARSH_LOW_CONFIDENCE,0.1,0.18,2,1,1
3950,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.55,,HARSH_LOW_CONFIDENCE,0.1,0.18,2,1,1
4000,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
4050,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
4100,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
4150,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
4200,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
4250,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
4300,329.627557,64,E4,326.218106,326.218106,false,,63.82,E4,-18,18,0.94,,PITCHED,0.1,0.18,2,1,1
4350,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,1,1
4400,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,1,1
4450,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,1,1
4500,349.228231,65,F4,346.21547,346.21547,false,,64.85,F4,-15,15,0.94,,PITCHED,0.11,0.198,3,1,1
4550,349.228231,65,F4,349.518475,349.518475,false,,65.014382,F4,1.438231,1.438231,0.94,,PITCHED,0.11,0.198,3,1,1
4600,349.228231,65,F4,347.700071,347.700071,false,,64.924078,F4,-7.592193,7.592193,0.94,,PITCHED,0.11,0.198,3,1,1
4650,349.228231,65,F4,344.445818,344.445818,false,,64.761282,F4,-23.871753,23.871753,0.94,,PITCHED,0.11,0.198,3,1,1
4700,349.228231,65,F4,345.866482,345.866482,false,,64.83254,F4,-16.745976,16.745976,0.94,,PITCHED,0.11,0.198,3,1,1
